Model,Mean_F1,Total_Borda,Mean_Borda
Claude,0.96,5.0,5.0
GPT,0.91,4.0,4.0
DeepSeek,0.9,2.5,2.5
Qwen,0.9,2.5,2.5
Grok,0.85,1.0,1.0
MiniMax,0.83,0.0,0.0
