Model,Mean_F1,Total_Borda,Mean_Borda
Claude,0.94,14.5,4.833333333333333
GPT,0.91,12.0,4.0
Qwen,0.8933333333333334,9.0,3.0
DeepSeek,0.8833333333333333,6.5,2.1666666666666665
Grok,0.8466666666666667,2.5,0.8333333333333334
MiniMax,0.8266666666666667,0.5,0.16666666666666666
