Model,Mean_F1,Total_Borda,Mean_Borda
Claude,0.935,19.5,4.875
GPT,0.9025000000000001,14.0,3.5
DeepSeek,0.8875,10.0,2.5
Qwen,0.885,10.0,2.5
MiniMax,0.8525,5.0,1.25
Grok,0.8474999999999999,1.5,0.375
